movieId,imdbId,tmdbId
1,tt0114709,862
2,tt0113497,8844
3,tt0113228,15602
4,tt0114885,31357
5,tt0113041,11862
6,tt0113277,949
7,tt0114319,11860
8,tt0112302,45325
9,tt0114576,9091
10,tt0113189,710
11,tt0112346,9087
12,tt0112896,12110
13,tt0112453,21032
14,tt0113987,10858
15,tt0112760,1408
16,tt0112641,524
17,tt0114388,4584
18,tt0113101,5
19,tt0112281,9273
20,tt0113845,11517
21,tt0113161,8012
22,tt0112722,1710
23,tt0112401,9691
24,tt0114168,12665
25,tt0113627,451
26,tt0114057,16420
27,tt0114011,9263
28,tt0114117,17015
29,tt0112682,902
31,tt0112792,9909
32,tt0114746,63
34,tt0112431,9598
35,tt0112637,47018
36,tt0112818,687
39,tt0112697,9603
40,tt0112749,34615
41,tt0114279,31174
42,tt0112819,11443
43,tt0114272,35196
44,tt0113855,9312
45,tt0114681,577
46,tt0113347,11861
47,tt0114369,807
48,tt0114148,10530
50,tt0114814,629
52,tt0113819,11448
54,tt0112499,26441
55,tt0113158,97406
57,tt0113321,9089
58,tt0110877,11010
60,tt0113419,11359
61,tt0116260,17182
62,tt0113862,2054
63,tt0116126,10607
64,tt0118002,19760
65,tt0115683,9536
66,tt0116839,11525
67,tt0114753,40628
68,tt0113149,4482
69,tt0113118,10634
70,tt0116367,755
72,tt0113537,28387
73,tt0113828,48750
74,tt0115644,20927
75,tt0115676,36929
76,tt0114367,9102
78,tt0112744,27526
79,tt0116731,9623
81,tt0114660,400
82,tt0112379,880
83,tt0114039,146599
85,tt0112365,8447
86,tt0118158,10534
87,tt0116151,17414
88,tt0115697,13997
89,tt0113972,2086
92,tt0117002,9095
94,tt0115639,9283
95,tt0115759,9208
96,tt0113403,40154
97,tt0113247,406
99,tt0113283,63076
100,tt0115907,11062
101,tt0115734,13685
102,tt0117102,47475
103,tt0118040,2045
104,tt0116483,9614
105,tt0112579,688
107,tt0117110,10874
110,tt0112573,197
111,tt0075314,103
112,tt0113326,33542
113,tt0115645,43566
114,tt0113774,71754
116,tt0112373,51352
117,tt0115033,16934
118,tt0116606,10324
119,tt0114536,78406
121,tt0106473,32119
122,tt0103859,11066
123,tt0109424,11104
124,tt0114808,37975
125,tt0116324,2074
126,tt0110647,27793
131,tt0113107,73067
132,tt0113451,11863
135,tt0116130,9101
140,tt0118055,9302
141,tt0115685,11000
144,tt0112585,16388
145,tt0112442,9737
146,tt0112342,30765
147,tt0112461,10474
149,tt0109093,30157
150,tt0112384,568
151,tt0114287,11780
152,tt0112288,34996
153,tt0112462,414
154,tt0061395,649
155,tt0112495,1873
156,tt0112541,5894
157,tt0109370,1775
158,tt0112642,8839
159,tt0112688,20649
160,tt0112715,10329
161,tt0112740,8963
162,tt0109508,26564
163,tt0112851,8068
164,tt0112857,8512
165,tt0112864,1572
168,tt0113071,6520
169,tt0113114,9073
170,tt0113243,10428
171,tt0113464,17447
172,tt0113481,9886
173,tt0113492,9482
174,tt0113500,19326
175,tt0113540,9344
176,tt0113677,9071
177,tt0113690,8973
178,tt0107447,15730
179,tt0113729,47608
180,tt0113749,2293
181,tt0113820,9070
182,tt0113851,68274
183,tt0110604,48787
184,tt0110620,34574
185,tt0113957,1642
186,tt0113986,11472
188,tt0114194,11980
190,tt0114323,32646
191,tt0114345,10533
193,tt0114436,10802
194,tt0114478,10149
195,tt0114496,18402
196,tt0114508,9348
198,tt0114558,281
199,tt0058450,5967
202,tt0114702,36834
203,tt0114682,9090
204,tt0114781,3512
205,tt0114798,52856
206,tt0114805,77350
207,tt0114887,9560
208,tt0114898,9804
209,tt0114928,31611
213,tt0111579,50797
214,tt0110882,19155
215,tt0112471,76
216,tt0112508,11017
217,tt0112438,37141
218,tt0112571,9382
219,tt0112757,6715
222,tt0112679,22625
223,tt0109445,2292
224,tt0112883,1909
225,tt0109635,8984
227,tt0109676,4954
228,tt0112854,62488
229,tt0109579,10531
230,tt0109642,11929
231,tt0109686,8467
232,tt0111797,10451
233,tt0109759,20156
234,tt0109758,18395
235,tt0109707,522
236,tt0113117,397
237,tt0113097,10525
239,tt0113198,15789
240,tt0113303,27303
242,tt0109771,10954
243,tt0113199,47867
244,tt0113234,43475
245,tt0109906,72031
246,tt0110057,14275
247,tt0110005,1024
248,tt0110066,17207
249,tt0110116,13701
250,tt0110006,14819
251,tt0113360,32631
252,tt0110099,11777
253,tt0110148,628
254,tt0113463,87729
256,tt0110216,6280
257,tt0113501,9061
258,tt0113538,37108
259,tt0113552,6071
260,tt0076759,11
261,tt0110367,9587
262,tt0113670,19101
265,tt0103994,18183
266,tt0110322,4476
267,tt0110443,11008
269,tt0107566,32325
270,tt0110391,43742
271,tt0113691,28313
272,tt0110428,11318
273,tt0109836,3036
274,tt0113755,40490
275,tt0110538,24070
276,tt0110516,8986
277,tt0110527,10510
278,tt0113808,17402
279,tt0113896,38722
280,tt0113870,8438
281,tt0110684,11593
282,tt0110638,1945
283,tt0113967,39310
285,tt0106402,56428
287,tt0110671,131957
288,tt0110632,241
289,tt0110737,9058
290,tt0110729,527
291,tt0114151,18220
292,tt0114069,6950
293,tt0110413,101
294,tt0114113,63020
296,tt0110912,680
299,tt0110889,40156
300,tt0110932,11450
302,tt0110963,10452
303,tt0114214,12106
304,tt0114296,161495
305,tt0110907,3586
306,tt0111495,110
307,tt0108394,108
308,tt0111507,109
309,tt0110769,159185
310,tt0114268,36357
311,tt0110965,92769
312,tt0114571,28033
313,tt0111333,22586
314,tt0111112,14334
315,tt0111255,2636
316,tt0111282,2164
317,tt0111070,11395
318,tt0111161,278
319,tt0111149,9905
320,tt0108260,87078
321,tt0106966,12527
322,tt0114594,20306
324,tt0111309,36614
325,tt0113936,27993
326,tt0110081,31439
327,tt0114614,9067
328,tt0114608,9059
329,tt0111280,193
330,tt0114609,25066
331,tt0111454,46797
332,tt0114852,12122
333,tt0114694,11381
334,tt0111590,32636
337,tt0108550,1587
338,tt0114857,9271
339,tt0114924,2064
340,tt0111667,19855
341,tt0109655,60855
342,tt0110598,236
343,tt0112435,48287
344,tt0109040,3049
345,tt0109045,2759
347,tt0104779,10497
348,tt0109348,11382
349,tt0109444,9331
350,tt0109446,10731
351,tt0109484,10464
352,tt0109504,34152
353,tt0109506,9495
354,tt0109450,29973
355,tt0109813,888
356,tt0109830,13
357,tt0109831,712
358,tt0113305,16295
359,tt0110091,48992
360,tt0110093,10879
361,tt0110167,10660
362,tt0110213,10714
364,tt0110357,8587
365,tt0107426,1689
366,tt0111686,11596
367,tt0110475,854
368,tt0110478,9359
369,tt0110588,23333
370,tt0110622,36593
371,tt0110771,12280
372,tt0110950,2788
373,tt0105226,10427
374,tt0110989,11011
376,tt0110997,8987
